exclude,type,authors_full,date,title,abstract,tldr,venue,venue_abbrev,short_title,prof_venue,award,url,pdf,materials,ebook,blog,full_talk,full_talk_embed,teaser_video,teaser_video_embed,bibtex,short_cv,professional_2_page,featured,image,project,doctoral_dissertation,sigchi_description,sigchi_award_description
NA,journal article,Ásgeir Berg Matthíasson,2021-1-1,Contradictions and falling bridges: what was Wittgenstein’s reply to Turing?,NA,NA,British Journal for History of Philosophy 29 (3): 537–559 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,journal article,Ásgeir Berg Matthíasson,2022-1-1,Rules as constitutive practices defined by correlated equilibria,NA,NA,Inquiry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
y,thesis,Ásgeir Berg Matthíasson,2020-1-1,A defence of Wittgenstein's radical conventionalism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
y,thesis,Ásgeir Berg Matthíasson,2015-8-13,Russell's Conception of Logic in the Principles of Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
y,thesis,Ásgeir Berg Matthíasson,2013-1-1,A Chalet on Mount Everest: Wittgenstein's Remarks on Gödel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA 

NA,other,Ásgeir Berg Matthíasson,2022-1-1,<i>fyrir öll x</i>,NA,NA,"Icelandic version of forall <i>x</i>, an open and free logic textbook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,other,Ásgeir Berg Matthíasson,2017-1-1,Af aðferð Chomskys og vinnubrögðum Guðna Elíssonar,NA,NA,Ritið: tímarit Hugvísindastofnunar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
